Region,Country,Item_Type,Sales_Channel,Order_Priority,Order_Date,Order_ID,Ship_Date,Units_Sold,Unit_Price,Unit_Cost
Europe,Belgium,Personal Care,Online,H,1/11/2011,222504317,20/11/11,2827,81.73,56.67
Europe,Finland,Household,Offline,H,15/01/16,757257401,31/01/16,8148,668.27,502.54
Middle East and North Africa,Oman,Cosmetics,Online,H,29/11/10,358570849,28/12/10,7937,437.2,263.33
Central America and the Caribbean,Dominica,Household,Offline,C,19/11/11,274930989,13/12/11,7044,668.27,502.54
Europe,Serbia,Clothes,Offline,L,6/7/2016,925136649,13/07/16,7348,109.28,35.84
Sub-Saharan Africa,Sao Tome and Principe,Clothes,Offline,L,11/11/2015,548299157,28/12/15,2760,109.28,35.84
Asia,Brunei,Cereal,Offline,L,28/05/13,153842341,16/07/13,4222,205.7,117.11
Middle East and North Africa,Israel,Beverages,Offline,H,8/9/2013,371502530,13/10/13,4709,47.45,31.79
Australia and Oceania,Solomon Islands,Household,Online,M,17/12/10,101328551,28/12/10,4225,668.27,502.54
Sub-Saharan Africa,Togo,Cosmetics,Online,M,8/9/2015,563681733,9/9/2015,4806,437.2,263.33
Sub-Saharan Africa,Mauritius ,Clothes,Offline,M,17/11/12,349235904,2/12/2012,5520,109.28,35.84
North America,Canada,Cosmetics,Online,H,9/5/2011,368977391,2/6/2011,7464,437.2,263.33
Middle East and North Africa,Lebanon,Meat,Online,L,8/3/2017,704205024,18/04/17,8770,421.89,364.69
Sub-Saharan Africa,Tanzania,Fruits,Offline,H,20/10/14,156530129,29/11/14,9599,9.33,6.92
Asia,South Korea,Meat,Offline,L,16/03/16,297876536,20/04/16,7141,421.89,364.69
Asia,Indonesia,Household,Online,C,28/09/11,520480573,28/09/11,623,668.27,502.54
Central America and the Caribbean,Antigua and Barbuda ,Office Supplies,Offline,C,2/10/2011,286891067,4/10/2011,6297,651.21,524.96
Middle East and North Africa,Tunisia ,Cosmetics,Offline,H,1/7/2012,479969346,20/07/12,2450,437.2,263.33
Asia,Thailand,Meat,Online,C,4/2/2015,252889239,19/02/15,4401,421.89,364.69
Asia,Nepal,Meat,Online,H,21/02/14,179137074,14/03/14,9496,421.89,364.69
Europe,Montenegro,Clothes,Offline,M,4/9/2016,902511680,8/9/2016,2117,109.28,35.84
Europe,Greece,Cereal,Online,H,22/08/15,887124383,8/10/2015,8674,205.7,117.11
Europe,Monaco,Beverages,Offline,M,29/05/16,467399013,14/06/16,2609,47.45,31.79
Asia,Taiwan,Cereal,Online,H,11/4/2010,498071897,26/05/10,9397,205.7,117.11
Europe,Albania,Personal Care,Offline,M,6/2/2016,104191863,11/2/2016,1543,81.73,56.67
Central America and the Caribbean,Saint Lucia,Fruits,Offline,L,12/12/2015,731120240,12/1/2016,3581,9.33,6.92
Europe,Italy,Cereal,Online,M,15/11/11,294530856,28/12/11,7080,205.7,117.11
Europe,Switzerland,Office Supplies,Offline,C,29/07/14,830410039,27/08/14,5639,651.21,524.96
Europe,Netherlands,Fruits,Online,L,19/11/16,845056617,30/11/16,9887,9.33,6.92
Europe,Sweden,Beverages,Online,H,13/09/12,265081918,12/10/2012,2485,47.45,31.79
Europe,Italy,Cereal,Online,C,30/11/15,887409770,5/12/2015,3126,205.7,117.11
Sub-Saharan Africa,Burundi,Beverages,Online,H,9/3/2011,529276502,9/4/2011,3533,47.45,31.79
Europe,Iceland,Baby Food,Offline,M,2/10/2010,678230941,3/11/2010,2462,255.28,159.42
Europe,Finland,Vegetables,Offline,C,9/10/2012,642134416,27/11/12,698,154.06,90.93
Sub-Saharan Africa,Rwanda,Fruits,Online,L,5/9/2012,699160754,15/09/12,6059,9.33,6.92
Asia,Japan,Household,Offline,M,16/07/14,747796285,24/07/14,8393,668.27,502.54
Europe,Romania,Beverages,Online,M,19/02/12,756839835,13/03/12,4581,47.45,31.79
Central America and the Caribbean,Belize,Personal Care,Online,H,14/06/15,315402734,2/8/2015,3533,81.73,56.67
Middle East and North Africa,Egypt,Clothes,Online,C,9/8/2016,882908809,24/08/16,1192,109.28,35.84
Australia and Oceania,Tonga,Baby Food,Online,L,11/5/2016,839094388,31/05/16,5531,255.28,159.42
Asia,Thailand,Fruits,Offline,C,30/09/12,434008300,14/11/12,1555,9.33,6.92
Central America and the Caribbean,Dominica,Beverages,Online,L,12/6/2012,438011872,18/07/12,6301,47.45,31.79
Sub-Saharan Africa,Ghana,Clothes,Online,M,2/11/2011,791778934,1/12/2011,3836,109.28,35.84
Australia and Oceania,East Timor,Cereal,Offline,M,7/12/2015,156295812,30/12/15,259,205.7,117.11
Sub-Saharan Africa,The Gambia,Fruits,Online,C,20/11/11,862861335,22/11/11,8699,9.33,6.92
Sub-Saharan Africa,Mali,Household,Offline,M,19/08/10,363086831,7/9/2010,4317,668.27,502.54
Asia,Indonesia,Personal Care,Offline,L,22/10/12,678896129,31/10/12,9306,81.73,56.67
Europe,Albania,Baby Food,Offline,H,19/07/12,752525556,13/08/12,7890,255.28,159.42
Sub-Saharan Africa,Ghana,Fruits,Offline,M,29/05/16,496523940,4/6/2016,1323,9.33,6.92
Central America and the Caribbean,Nicaragua,Baby Food,Online,L,11/11/2016,343752610,16/11/16,2891,255.28,159.42
Europe,Italy,Office Supplies,Online,H,29/03/11,797385394,11/4/2011,2913,651.21,524.96
Europe,Moldova ,Fruits,Online,C,27/01/13,180908620,3/3/2013,3736,9.33,6.92
Central America and the Caribbean,The Bahamas,Fruits,Offline,L,18/06/10,488121116,30/06/10,4740,9.33,6.92
Europe,Romania,Cereal,Online,M,16/04/15,633134210,18/04/15,7337,205.7,117.11
Middle East and North Africa,Pakistan,Meat,Online,M,28/12/13,500371730,15/02/14,9969,421.89,364.69
Sub-Saharan Africa,Madagascar,Clothes,Online,L,17/10/16,494570004,26/10/16,3110,109.28,35.84
North America,United States of America,Personal Care,Online,H,21/01/16,190777862,19/02/16,4264,81.73,56.67
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,Online,M,7/10/2012,584356629,25/10/12,2967,437.2,263.33
Australia and Oceania,New Zealand,Beverages,Online,M,11/10/2012,940980136,4/11/2012,5788,47.45,31.79
Sub-Saharan Africa,Liberia,Baby Food,Offline,H,6/6/2015,146634709,12/6/2015,1324,255.28,159.42
Asia,Turkmenistan,Meat,Online,M,30/04/17,757619178,14/05/17,5206,421.89,364.69
Sub-Saharan Africa,Malawi,Meat,Offline,H,1/3/2016,450544869,12/3/2016,5094,421.89,364.69
Australia and Oceania,Vanuatu,Cereal,Offline,C,20/06/14,572335612,5/8/2014,5681,205.7,117.11
Sub-Saharan Africa,Mali,Baby Food,Online,L,3/11/2015,290227735,7/12/2015,3691,255.28,159.42
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,Offline,M,30/07/13,641770064,25/08/13,2878,437.2,263.33
Asia,Sri Lanka,Fruits,Online,H,13/03/17,484823930,20/04/17,9030,9.33,6.92
Sub-Saharan Africa,Equatorial Guinea,Cereal,Online,C,11/10/2010,547563159,4/11/2010,4962,205.7,117.11
Middle East and North Africa,United Arab Emirates,Baby Food,Offline,M,25/04/17,278474080,14/06/17,5523,255.28,159.42
Sub-Saharan Africa,Democratic Republic of the Congo,Snacks,Offline,C,30/08/11,996355521,21/09/11,2595,152.58,97.44
Asia,South Korea,Household,Offline,C,27/02/15,940318810,6/3/2015,87,668.27,502.54
Central America and the Caribbean,El Salvador,Cosmetics,Offline,L,20/02/16,219787776,5/3/2016,8942,437.2,263.33
Central America and the Caribbean,Antigua and Barbuda ,Vegetables,Online,H,30/07/11,364498746,11/8/2011,2134,154.06,90.93
North America,Greenland,Household,Online,H,14/11/10,274500548,23/11/10,9667,668.27,502.54
Asia,Kazakhstan,Baby Food,Online,H,25/11/16,270154511,22/12/16,3578,255.28,159.42
Australia and Oceania,Papua New Guinea,Personal Care,Online,H,12/9/2014,742134463,8/10/2014,2934,81.73,56.67
Asia,Myanmar,Cosmetics,Online,C,21/01/13,801426732,19/02/13,8834,437.2,263.33
Central America and the Caribbean,Costa Rica,Beverages,Offline,H,30/06/10,529330146,16/08/10,9408,47.45,31.79
Europe,Serbia,Office Supplies,Offline,C,26/02/14,527456033,2/3/2014,4816,651.21,524.96
Europe,Albania,Meat,Offline,M,26/04/13,567728221,12/5/2013,2252,421.89,364.69
Europe,Armenia,Clothes,Offline,C,23/06/13,942383038,29/06/13,938,109.28,35.84
Middle East and North Africa,Somalia,Snacks,Online,C,26/05/17,213969314,7/7/2017,7130,152.58,97.44
Sub-Saharan Africa,Kenya,Cereal,Offline,M,10/10/2013,165348374,27/11/13,9113,205.7,117.11
Sub-Saharan Africa,Zambia,Cosmetics,Online,M,16/04/11,849694049,29/05/11,2206,437.2,263.33
North America,Canada,Cosmetics,Online,C,14/02/12,140492665,18/02/12,3757,437.2,263.33
Australia and Oceania,Marshall Islands,Personal Care,Online,L,23/09/15,481543052,24/09/15,8145,81.73,56.67
Europe,Estonia,Vegetables,Online,L,20/01/15,336956536,4/2/2015,1782,154.06,90.93
Europe,Armenia,Snacks,Offline,M,23/06/15,941156947,6/7/2015,8110,152.58,97.44
Middle East and North Africa,Syria,Snacks,Online,M,9/11/2015,448880612,9/12/2015,2603,152.58,97.44
Asia,Myanmar,Office Supplies,Offline,C,4/5/2012,685176360,8/6/2012,7766,651.21,524.96
Central America and the Caribbean,The Bahamas,Office Supplies,Online,L,13/04/17,395405519,26/04/17,8135,651.21,524.96
Sub-Saharan Africa,Madagascar,Household,Offline,C,7/1/2010,195241916,12/2/2010,5276,668.27,502.54
Sub-Saharan Africa,Niger,Clothes,Offline,C,25/05/16,320671880,5/7/2016,2790,109.28,35.84
Asia,Mongolia,Meat,Offline,H,7/2/2014,177994239,29/03/14,1306,421.89,364.69
